user_id,first_visit_at,acquisition_channel,campaign,device,age_group,country,landing_page,user_goal
U00022,2026-01-25 19:21:00,TikTok,tt_discount_challenge,mobile,18-24,Austria,level_test,exam
U00023,2026-01-23 15:02:00,Instagram,ig_story_discount,mobile,25-34,Austria,level_test,exam
U00024,2026-03-06 16:42:00,Instagram,ig_story_discount,mobile,25-34,Germany,level_test,travel
U00025,2026-02-21 07:19:00,YouTube,yt_teacher_expert,mobile,25-34,Germany,pricing,exam
U00026,2026-01-19 07:02:00,TikTok,tt_viral_test,mobile,18-24,Switzerland,level_test,travel
U00027,2026-01-29 12:51:00,Telegram,tg_community_native,tablet,25-34,Germany,level_test,conversation
U00028,2026-02-10 21:39:00,Partner Referral,partner_creator,desktop,45+,Germany,speaking_club,travel
U00029,2026-02-23 20:21:00,Google Ads,ga_brand,mobile,25-34,Germany,trial_lesson,conversation
U00030,2026-03-03 07:22:00,Google Ads,ga_search_english_course,mobile,25-34,Poland,grammar_materials,exam
U00031,2026-02-25 22:01:00,TikTok,tt_short_lessons,mobile,25-34,Austria,pricing,conversation
U00032,2026-03-14 07:05:00,Partner Referral,partner_creator,mobile,25-34,Germany,level_test,travel
U00033,2026-01-03 11:15:00,Partner Referral,partner_blog,mobile,35-44,Germany,level_test,relocation
U00034,2026-02-09 10:37:00,Google Ads,ga_brand,mobile,25-34,Germany,speaking_club,travel
U00035,2026-03-14 08:22:00,YouTube,yt_pre_roll,mobile,35-44,Germany,pricing,career
U00036,2026-01-20 20:11:00,Telegram,tg_webinar_invite,desktop,45+,Germany,grammar_materials,exam
U00037,2026-02-11 12:31:00,TikTok,tt_short_lessons,mobile,25-34,Germany,grammar_materials,relocation
U00038,2026-03-24 22:28:00,TikTok,tt_short_lessons,desktop,18-24,Germany,pricing,travel
U00039,2026-01-25 16:14:00,YouTube,yt_pre_roll,mobile,25-34,Germany,level_test,career
U00040,2026-03-03 21:21:00,YouTube,yt_teacher_expert,mobile,18-24,Other EU,trial_lesson,conversation
U00041,2026-03-19 14:49:00,Instagram,ig_story_discount,mobile,25-34,Germany,grammar_materials,school_university
U00042,2026-03-22 13:16:00,Google Ads,ga_brand,desktop,18-24,Germany,level_test,career
U00043,2026-01-30 15:50:00,TikTok,tt_discount_challenge,desktop,25-34,Switzerland,level_test,career
U00044,2026-02-26 10:29:00,Telegram,tg_community_native,desktop,35-44,Other EU,trial_lesson,exam
U00045,2026-01-12 14:43:00,YouTube,yt_pre_roll,desktop,25-34,Other EU,speaking_club,relocation
U00046,2026-03-05 16:42:00,TikTok,tt_discount_challenge,tablet,25-34,Germany,trial_lesson,travel
U00047,2026-03-26 21:26:00,YouTube,yt_pre_roll,mobile,25-34,Germany,trial_lesson,travel
U00048,2026-03-01 10:41:00,Partner Referral,partner_blog,desktop,25-34,Germany,trial_lesson,career
U00049,2026-02-08 22:55:00,Instagram,ig_lookalike_students,mobile,25-34,Germany,trial_lesson,exam
U00050,2026-01-20 22:02:00,Google Ads,ga_competitor,mobile,45+,Germany,level_test,conversation
U00051,2026-03-10 19:20:00,Telegram,tg_webinar_invite,mobile,35-44,Germany,trial_lesson,relocation
U00052,2026-03-23 10:28:00,TikTok,tt_viral_test,mobile,18-24,Germany,level_test,career
U00053,2026-02-28 15:42:00,TikTok,tt_short_lessons,mobile,25-34,Poland,pricing,career
U00054,2026-01-31 19:36:00,Telegram,tg_channel_post,mobile,25-34,Germany,level_test,conversation
U00055,2026-03-29 11:40:00,Google Ads,ga_competitor,mobile,35-44,Germany,grammar_materials,career
U00056,2026-01-22 15:58:00,YouTube,yt_teacher_expert,desktop,25-34,Switzerland,pricing,travel
U00057,2026-03-16 19:52:00,Google Ads,ga_search_english_course,desktop,25-34,Germany,trial_lesson,relocation
U00058,2026-02-28 18:42:00,YouTube,yt_teacher_expert,tablet,35-44,Germany,trial_lesson,relocation
U00059,2026-03-26 13:41:00,Telegram,tg_channel_post,mobile,45+,Germany,level_test,school_university
U00060,2026-01-19 11:34:00,YouTube,yt_teacher_expert,mobile,18-24,Germany,level_test,career
U00061,2026-01-09 22:28:00,YouTube,yt_long_form,desktop,25-34,Germany,trial_lesson,school_university
U00062,2026-02-26 09:57:00,Instagram,ig_lookalike_students,mobile,25-34,Germany,level_test,relocation
U00063,2026-02-25 21:56:00,Google Ads,ga_brand,mobile,25-34,Germany,level_test,career
U00064,2026-01-11 09:27:00,TikTok,tt_viral_test,mobile,25-34,Switzerland,trial_lesson,exam
U00065,2026-01-07 16:38:00,Telegram,tg_webinar_invite,mobile,18-24,Germany,level_test,exam
U00066,2026-03-30 15:01:00,Instagram,ig_lookalike_students,mobile,25-34,Germany,level_test,career
U00067,2026-03-18 09:56:00,Google Ads,ga_competitor,mobile,18-24,Germany,pricing,career
U00068,2026-01-18 15:18:00,Instagram,ig_reels_beginner,mobile,18-24,Austria,level_test,travel
U00069,2026-03-15 20:36:00,Instagram,ig_story_discount,mobile,25-34,Germany,level_test,school_university
U00070,2026-01-29 17:49:00,TikTok,tt_short_lessons,mobile,25-34,Germany,trial_lesson,conversation
U00071,2026-01-14 11:16:00,Telegram,tg_channel_post,mobile,35-44,Austria,pricing,career
U00072,2026-02-10 11:28:00,TikTok,tt_discount_challenge,mobile,18-24,Germany,level_test,career
U00073,2026-01-06 21:58:00,TikTok,tt_discount_challenge,desktop,25-34,Germany,trial_lesson,career
U00074,2026-03-06 12:02:00,Partner Referral,partner_blog,mobile,25-34,Germany,trial_lesson,career
U00075,2026-02-09 19:41:00,YouTube,yt_pre_roll,desktop,35-44,Germany,grammar_materials,relocation
U00076,2026-03-06 08:42:00,Telegram,tg_channel_post,mobile,35-44,Germany,level_test,career
U00077,2026-02-09 22:57:00,TikTok,tt_viral_test,desktop,18-24,Other EU,speaking_club,exam
U00078,2026-01-07 22:55:00,Instagram,ig_story_discount,mobile,35-44,Germany,trial_lesson,career
U00079,2026-01-07 19:32:00,Partner Referral,partner_hr_benefit,mobile,25-34,Germany,level_test,travel
U00080,2026-02-27 07:57:00,Google Ads,ga_search_english_course,mobile,25-34,Switzerland,trial_lesson,relocation
U00081,2026-01-01 18:15:00,Instagram,ig_story_discount,mobile,18-24,Germany,trial_lesson,travel
U00082,2026-02-12 11:02:00,YouTube,yt_long_form,mobile,25-34,Germany,grammar_materials,relocation
U00083,2026-03-25 17:17:00,TikTok,tt_viral_test,mobile,18-24,Poland,pricing,conversation
U00084,2026-02-04 09:46:00,YouTube,yt_long_form,mobile,25-34,Other EU,level_test,travel
U00085,2026-01-21 07:09:00,Telegram,tg_webinar_invite,desktop,35-44,Germany,level_test,career
U00086,2026-03-15 11:33:00,TikTok,tt_viral_test,mobile,18-24,Germany,speaking_club,career
U00087,2026-01-21 12:50:00,TikTok,tt_short_lessons,mobile,18-24,Other EU,grammar_materials,career
U00088,2026-01-17 17:41:00,Telegram,tg_channel_post,mobile,25-34,Germany,level_test,conversation
U00089,2026-02-05 11:40:00,YouTube,yt_long_form,mobile,25-34,Germany,level_test,school_university
U00090,2026-01-06 07:05:00,Telegram,tg_webinar_invite,mobile,35-44,Germany,pricing,conversation
U00091,2026-02-21 16:29:00,TikTok,tt_discount_challenge,mobile,18-24,Germany,trial_lesson,career
U00092,2026-02-17 10:20:00,Partner Referral,partner_blog,mobile,25-34,Germany,level_test,career
U00093,2026-02-11 17:12:00,Partner Referral,partner_blog,desktop,25-34,Germany,trial_lesson,travel
U00094,2026-02-19 21:48:00,YouTube,yt_pre_roll,mobile,35-44,Germany,pricing,career
U00095,2026-02-10 12:25:00,TikTok,tt_discount_challenge,tablet,25-34,Germany,level_test,conversation
U00096,2026-02-12 10:26:00,Telegram,tg_community_native,mobile,35-44,Austria,pricing,career
U00097,2026-01-30 08:37:00,Google Ads,ga_competitor,mobile,25-34,Austria,grammar_materials,travel
U00098,2026-02-22 22:55:00,TikTok,tt_viral_test,desktop,25-34,Germany,trial_lesson,exam
U00099,2026-03-24 15:39:00,Telegram,tg_webinar_invite,mobile,45+,Germany,level_test,school_university
U00100,2026-02-10 22:22:00,Google Ads,ga_search_english_course,desktop,45+,Austria,level_test,exam
U00101,2026-02-07 08:18:00,TikTok,tt_viral_test,tablet,18-24,Poland,pricing,conversation
U00102,2026-03-27 14:40:00,TikTok,tt_viral_test,mobile,18-24,Germany,trial_lesson,relocation
U00103,2026-02-06 17:18:00,TikTok,tt_viral_test,mobile,35-44,Germany,trial_lesson,exam
U00104,2026-01-05 19:50:00,Instagram,ig_reels_beginner,mobile,35-44,Other EU,speaking_club,conversation
U00105,2026-01-15 17:10:00,TikTok,tt_viral_test,desktop,25-34,Germany,level_test,travel
U00106,2026-02-11 09:25:00,Telegram,tg_webinar_invite,mobile,25-34,Germany,level_test,career
U00107,2026-03-01 16:10:00,Instagram,ig_reels_beginner,mobile,25-34,Poland,pricing,travel
U00108,2026-02-01 09:33:00,Telegram,tg_channel_post,mobile,35-44,Germany,trial_lesson,career
U00109,2026-02-27 08:29:00,TikTok,tt_discount_challenge,mobile,18-24,Germany,trial_lesson,relocation
U00110,2026-02-24 18:44:00,YouTube,yt_pre_roll,mobile,45+,Other EU,level_test,school_university
U00111,2026-02-20 11:46:00,Instagram,ig_lookalike_students,tablet,35-44,Austria,speaking_club,exam
U00112,2026-02-23 07:15:00,Instagram,ig_lookalike_students,mobile,18-24,Germany,trial_lesson,relocation
U00113,2026-01-29 20:19:00,Partner Referral,partner_creator,mobile,35-44,Germany,pricing,career
U00114,2026-02-10 20:26:00,Google Ads,ga_competitor,mobile,25-34,Austria,trial_lesson,conversation
U00115,2026-02-22 20:35:00,Partner Referral,partner_creator,mobile,25-34,Germany,level_test,career
U00116,2026-02-08 07:13:00,TikTok,tt_short_lessons,tablet,45+,Germany,speaking_club,exam
U00117,2026-02-11 16:24:00,Partner Referral,partner_creator,mobile,35-44,Germany,level_test,conversation
U00118,2026-01-30 19:36:00,Instagram,ig_story_discount,desktop,25-34,Germany,pricing,career
U00119,2026-02-15 12:08:00,YouTube,yt_pre_roll,desktop,25-34,Poland,trial_lesson,relocation
U00120,2026-03-03 22:01:00,Google Ads,ga_competitor,mobile,25-34,Germany,trial_lesson,career
U00121,2026-03-14 14:44:00,Partner Referral,partner_hr_benefit,mobile,35-44,Switzerland,pricing,conversation
U00122,2026-03-14 08:11:00,TikTok,tt_discount_challenge,desktop,18-24,Other EU,trial_lesson,conversation
U00123,2026-02-12 19:48:00,TikTok,tt_discount_challenge,desktop,25-34,Germany,level_test,conversation
U00124,2026-02-20 17:01:00,Google Ads,ga_competitor,desktop,35-44,Germany,level_test,exam
U00125,2026-02-26 18:48:00,Instagram,ig_story_discount,mobile,18-24,Germany,trial_lesson,exam
U00126,2026-01-22 11:17:00,Instagram,ig_story_discount,mobile,25-34,Germany,trial_lesson,travel
U00127,2026-01-26 21:06:00,YouTube,yt_long_form,mobile,18-24,Germany,grammar_materials,travel
U00128,2026-02-08 17:38:00,Partner Referral,partner_blog,tablet,25-34,Germany,speaking_club,school_university
U00129,2026-02-20 18:07:00,TikTok,tt_short_lessons,tablet,18-24,Other EU,level_test,conversation
U00130,2026-01-09 20:43:00,Google Ads,ga_competitor,mobile,35-44,Germany,pricing,relocation
U00131,2026-01-22 08:36:00,Google Ads,ga_search_english_course,tablet,35-44,Germany,pricing,school_university
U00132,2026-02-14 16:21:00,Partner Referral,partner_blog,mobile,25-34,Germany,trial_lesson,travel
U00133,2026-01-21 17:35:00,YouTube,yt_long_form,mobile,25-34,Austria,pricing,career
U00134,2026-02-03 22:33:00,Instagram,ig_reels_beginner,tablet,18-24,Germany,level_test,career
U00135,2026-03-17 09:43:00,TikTok,tt_discount_challenge,mobile,18-24,Germany,level_test,relocation
U00136,2026-01-22 22:18:00,Partner Referral,partner_creator,mobile,25-34,Germany,level_test,travel
U00137,2026-03-04 20:45:00,YouTube,yt_long_form,desktop,25-34,Germany,level_test,conversation
U00138,2026-03-07 10:36:00,Google Ads,ga_competitor,mobile,35-44,Switzerland,level_test,conversation
U00139,2026-02-14 20:10:00,Google Ads,ga_competitor,desktop,35-44,Switzerland,grammar_materials,exam
U00140,2026-01-08 15:55:00,Instagram,ig_story_discount,mobile,25-34,Germany,level_test,travel
U00141,2026-02-04 20:24:00,Instagram,ig_lookalike_students,mobile,25-34,Poland,level_test,exam
U00142,2026-03-16 07:55:00,Partner Referral,partner_hr_benefit,desktop,35-44,Austria,trial_lesson,relocation
U00143,2026-01-26 11:56:00,Instagram,ig_story_discount,mobile,18-24,Other EU,level_test,relocation
U00144,2026-03-25 09:45:00,Google Ads,ga_search_english_course,mobile,25-34,Germany,trial_lesson,exam
U00145,2026-01-28 11:58:00,Instagram,ig_story_discount,mobile,25-34,Switzerland,level_test,career
U00146,2026-01-27 13:47:00,Google Ads,ga_search_english_course,mobile,35-44,Austria,grammar_materials,career
U00147,2026-01-23 22:49:00,TikTok,tt_discount_challenge,mobile,25-34,Germany,level_test,school_university
U00148,2026-01-20 17:25:00,Instagram,ig_reels_beginner,mobile,35-44,Germany,pricing,travel
U00149,2026-01-16 07:45:00,Google Ads,ga_brand,mobile,18-24,Germany,level_test,exam
U00150,2026-02-04 09:16:00,TikTok,tt_short_lessons,desktop,25-34,Germany,trial_lesson,travel
U00151,2026-03-15 10:14:00,TikTok,tt_viral_test,desktop,18-24,Switzerland,level_test,career
U00152,2026-01-29 17:15:00,Google Ads,ga_search_english_course,mobile,35-44,Germany,level_test,travel
U00153,2026-02-06 16:20:00,Instagram,ig_story_discount,mobile,25-34,Germany,level_test,conversation
U00154,2026-02-01 11:00:00,Google Ads,ga_competitor,tablet,18-24,Germany,pricing,relocation
U00155,2026-01-12 08:58:00,Instagram,ig_story_discount,mobile,35-44,Germany,grammar_materials,travel
U00156,2026-01-10 08:27:00,YouTube,yt_teacher_expert,mobile,18-24,Germany,grammar_materials,school_university
U00157,2026-01-10 13:08:00,TikTok,tt_viral_test,desktop,25-34,Germany,level_test,exam
U00158,2026-01-06 13:53:00,Google Ads,ga_competitor,desktop,18-24,Germany,speaking_club,travel
U00159,2026-02-17 09:37:00,Instagram,ig_story_discount,mobile,35-44,Germany,speaking_club,career
U00160,2026-03-05 07:24:00,Telegram,tg_community_native,desktop,25-34,Germany,level_test,career
U00161,2026-02-15 22:34:00,Instagram,ig_story_discount,desktop,25-34,Germany,level_test,career
U00162,2026-01-31 15:34:00,Instagram,ig_lookalike_students,desktop,35-44,Germany,speaking_club,career
U00163,2026-01-23 14:37:00,Telegram,tg_channel_post,mobile,35-44,Germany,trial_lesson,relocation
U00164,2026-02-13 12:58:00,YouTube,yt_pre_roll,desktop,35-44,Germany,level_test,relocation
U00165,2026-03-26 19:37:00,Partner Referral,partner_hr_benefit,mobile,25-34,Germany,level_test,school_university
U00166,2026-03-30 18:14:00,Instagram,ig_lookalike_students,mobile,35-44,Germany,pricing,travel
U00167,2026-01-05 12:38:00,TikTok,tt_discount_challenge,mobile,25-34,Germany,pricing,career
U00168,2026-02-27 07:16:00,YouTube,yt_teacher_expert,mobile,35-44,Germany,grammar_materials,relocation
U00169,2026-02-18 18:34:00,Telegram,tg_community_native,mobile,35-44,Austria,trial_lesson,conversation
U00170,2026-01-21 08:06:00,YouTube,yt_teacher_expert,mobile,45+,Germany,trial_lesson,school_university
U00171,2026-03-22 22:12:00,TikTok,tt_discount_challenge,mobile,18-24,Germany,speaking_club,exam
U00172,2026-03-11 19:11:00,TikTok,tt_discount_challenge,mobile,18-24,Germany,level_test,travel
U00173,2026-03-27 10:05:00,Instagram,ig_lookalike_students,mobile,35-44,Germany,pricing,career
U00174,2026-03-15 14:30:00,YouTube,yt_teacher_expert,mobile,25-34,Switzerland,level_test,exam
U00175,2026-02-28 07:50:00,Telegram,tg_webinar_invite,desktop,25-34,Austria,level_test,career
U00176,2026-03-04 22:02:00,TikTok,tt_discount_challenge,mobile,18-24,Germany,pricing,travel
U00177,2026-02-04 18:01:00,Instagram,ig_story_discount,mobile,35-44,Germany,grammar_materials,conversation
U00178,2026-02-23 09:12:00,Telegram,tg_community_native,mobile,45+,Germany,trial_lesson,exam
U00179,2026-01-26 08:15:00,Instagram,ig_reels_beginner,mobile,18-24,Germany,level_test,travel
U00180,2026-03-17 18:22:00,Instagram,ig_story_discount,mobile,35-44,Austria,pricing,travel
U00181,2026-01-29 15:38:00,Instagram,ig_reels_beginner,desktop,18-24,Other EU,pricing,travel
U00182,2026-01-01 18:35:00,TikTok,tt_viral_test,mobile,25-34,Germany,level_test,career
U00183,2026-03-25 16:12:00,TikTok,tt_discount_challenge,mobile,25-34,Poland,grammar_materials,conversation
U00184,2026-03-05 16:16:00,Google Ads,ga_competitor,desktop,25-34,Austria,trial_lesson,school_university
U00185,2026-03-02 11:47:00,Instagram,ig_reels_beginner,mobile,35-44,Austria,level_test,relocation
U00186,2026-03-16 16:29:00,TikTok,tt_short_lessons,desktop,18-24,Poland,trial_lesson,school_university
U00187,2026-02-22 08:55:00,TikTok,tt_short_lessons,desktop,18-24,Germany,level_test,exam
U00188,2026-01-08 07:28:00,Instagram,ig_lookalike_students,mobile,35-44,Germany,grammar_materials,exam
U00189,2026-01-25 07:43:00,Telegram,tg_webinar_invite,mobile,35-44,Germany,grammar_materials,travel
U00190,2026-01-03 14:14:00,Instagram,ig_story_discount,desktop,18-24,Austria,trial_lesson,career
U00191,2026-03-30 10:26:00,Telegram,tg_channel_post,mobile,18-24,Germany,pricing,career
U00192,2026-02-03 13:22:00,Instagram,ig_reels_beginner,desktop,18-24,Germany,trial_lesson,career
U00193,2026-01-12 09:46:00,Google Ads,ga_brand,desktop,45+,Germany,trial_lesson,school_university
U00194,2026-03-26 12:21:00,Instagram,ig_reels_beginner,mobile,25-34,Germany,grammar_materials,career
U00195,2026-01-17 08:54:00,Google Ads,ga_brand,mobile,25-34,Germany,grammar_materials,relocation
U00196,2026-01-17 22:58:00,Telegram,tg_webinar_invite,mobile,35-44,Germany,level_test,relocation
U00197,2026-01-07 07:41:00,YouTube,yt_long_form,tablet,25-34,Germany,trial_lesson,career
U00198,2026-02-28 21:51:00,Telegram,tg_channel_post,mobile,18-24,Germany,level_test,school_university
U00199,2026-03-23 16:56:00,Google Ads,ga_competitor,mobile,25-34,Germany,speaking_club,travel
U00200,2026-01-15 10:48:00,TikTok,tt_short_lessons,mobile,18-24,Germany,pricing,conversation
U00201,2026-01-06 10:49:00,TikTok,tt_short_lessons,desktop,18-24,Germany,trial_lesson,school_university
U00202,2026-01-23 12:46:00,YouTube,yt_long_form,desktop,18-24,Germany,pricing,travel
U00203,2026-03-12 17:45:00,YouTube,yt_long_form,desktop,25-34,Germany,level_test,relocation
U00204,2026-03-15 20:43:00,YouTube,yt_long_form,desktop,35-44,Germany,grammar_materials,conversation
U00205,2026-03-24 19:15:00,Telegram,tg_webinar_invite,mobile,35-44,Germany,pricing,career
U00206,2026-01-25 16:28:00,YouTube,yt_long_form,mobile,35-44,Germany,level_test,exam
U00207,2026-02-11 08:49:00,Instagram,ig_reels_beginner,tablet,25-34,Germany,trial_lesson,exam
U00208,2026-02-23 19:05:00,Google Ads,ga_brand,mobile,45+,Germany,level_test,travel
U00209,2026-01-02 10:42:00,YouTube,yt_long_form,mobile,25-34,Germany,speaking_club,career
U00210,2026-01-22 07:40:00,YouTube,yt_pre_roll,mobile,35-44,Austria,grammar_materials,travel
U00211,2026-03-24 09:47:00,Google Ads,ga_search_english_course,desktop,18-24,Germany,level_test,career
U00212,2026-01-09 08:44:00,Google Ads,ga_competitor,desktop,25-34,Germany,level_test,relocation
U00213,2026-03-24 18:00:00,Partner Referral,partner_creator,mobile,35-44,Germany,level_test,exam
U00214,2026-01-25 10:11:00,YouTube,yt_teacher_expert,mobile,25-34,Germany,pricing,school_university
U00215,2026-03-25 14:06:00,TikTok,tt_discount_challenge,mobile,18-24,Germany,trial_lesson,travel
U00216,2026-02-10 14:50:00,TikTok,tt_viral_test,mobile,25-34,Germany,grammar_materials,career
U00217,2026-03-04 10:11:00,TikTok,tt_short_lessons,mobile,18-24,Germany,grammar_materials,conversation
U00218,2026-01-04 19:49:00,Telegram,tg_webinar_invite,mobile,45+,Germany,trial_lesson,school_university
U00219,2026-03-01 09:25:00,Telegram,tg_channel_post,mobile,18-24,Germany,speaking_club,school_university
U00220,2026-01-30 09:16:00,Instagram,ig_story_discount,mobile,18-24,Germany,speaking_club,travel
U00221,2026-02-03 12:24:00,YouTube,yt_teacher_expert,mobile,25-34,Germany,grammar_materials,exam
U00222,2026-03-04 22:56:00,TikTok,tt_short_lessons,mobile,25-34,Germany,level_test,career
U00223,2026-03-28 22:30:00,Google Ads,ga_search_english_course,mobile,18-24,Switzerland,level_test,career
U00224,2026-02-27 22:55:00,Partner Referral,partner_blog,mobile,25-34,Germany,level_test,exam
U00225,2026-03-06 10:05:00,Telegram,tg_webinar_invite,mobile,18-24,Germany,grammar_materials,conversation
U00226,2026-03-31 20:14:00,TikTok,tt_viral_test,tablet,25-34,Austria,level_test,conversation
U00227,2026-03-03 14:58:00,TikTok,tt_short_lessons,desktop,18-24,Poland,level_test,career
U00228,2026-02-18 13:44:00,Instagram,ig_reels_beginner,desktop,25-34,Germany,trial_lesson,exam
U00229,2026-03-15 18:49:00,TikTok,tt_short_lessons,desktop,25-34,Switzerland,pricing,conversation
U00230,2026-03-31 08:10:00,Telegram,tg_webinar_invite,mobile,35-44,Switzerland,grammar_materials,exam
U00231,2026-01-26 16:12:00,YouTube,yt_pre_roll,mobile,25-34,Germany,level_test,career
U00232,2026-03-15 07:16:00,TikTok,tt_short_lessons,mobile,25-34,Germany,trial_lesson,travel
U00233,2026-02-02 21:24:00,Telegram,tg_webinar_invite,mobile,35-44,Austria,speaking_club,travel
U00234,2026-02-13 09:35:00,Instagram,ig_lookalike_students,tablet,25-34,Germany,grammar_materials,career
U00235,2026-01-31 14:55:00,YouTube,yt_pre_roll,mobile,25-34,Switzerland,grammar_materials,travel
U00236,2026-03-05 15:31:00,TikTok,tt_short_lessons,mobile,25-34,Germany,level_test,conversation
U00237,2026-02-14 19:55:00,YouTube,yt_long_form,desktop,18-24,Other EU,pricing,exam
U00238,2026-02-16 19:17:00,Google Ads,ga_search_english_course,mobile,25-34,Other EU,pricing,conversation
U00239,2026-01-08 13:52:00,Instagram,ig_reels_beginner,mobile,35-44,Germany,pricing,career
U00240,2026-02-15 17:43:00,Partner Referral,partner_hr_benefit,mobile,35-44,Germany,level_test,relocation
U00241,2026-02-23 19:54:00,Google Ads,ga_search_english_course,desktop,18-24,Germany,level_test,relocation
U00242,2026-02-27 20:10:00,Google Ads,ga_competitor,mobile,18-24,Austria,pricing,school_university
U00243,2026-01-30 14:47:00,Telegram,tg_community_native,mobile,35-44,Germany,grammar_materials,career
U00244,2026-02-04 21:08:00,TikTok,tt_discount_challenge,tablet,25-34,Germany,trial_lesson,relocation
U00245,2026-02-14 22:34:00,YouTube,yt_teacher_expert,mobile,18-24,Germany,level_test,career
U00246,2026-03-10 07:44:00,TikTok,tt_short_lessons,desktop,35-44,Germany,level_test,travel
U00247,2026-03-24 19:53:00,TikTok,tt_viral_test,mobile,18-24,Germany,level_test,conversation
U00248,2026-03-10 15:26:00,TikTok,tt_discount_challenge,mobile,18-24,Germany,level_test,travel
U00249,2026-01-07 07:11:00,TikTok,tt_viral_test,tablet,18-24,Germany,trial_lesson,career
U00250,2026-02-17 21:44:00,TikTok,tt_short_lessons,desktop,18-24,Switzerland,speaking_club,career
U00251,2026-02-26 14:47:00,Google Ads,ga_search_english_course,tablet,25-34,Austria,level_test,relocation
U00252,2026-02-20 14:00:00,TikTok,tt_viral_test,tablet,25-34,Germany,pricing,career
U00253,2026-03-04 14:20:00,Google Ads,ga_brand,tablet,35-44,Austria,grammar_materials,travel
U00254,2026-02-14 17:46:00,YouTube,yt_long_form,mobile,35-44,Germany,grammar_materials,career
U00255,2026-03-05 11:39:00,Instagram,ig_lookalike_students,mobile,25-34,Germany,level_test,relocation
U00256,2026-03-17 15:03:00,YouTube,yt_long_form,mobile,25-34,Germany,speaking_club,career
U00257,2026-02-08 09:13:00,Instagram,ig_reels_beginner,tablet,18-24,Austria,trial_lesson,career
U00258,2026-01-14 18:43:00,YouTube,yt_long_form,mobile,35-44,Poland,level_test,career
U00259,2026-02-22 20:52:00,TikTok,tt_short_lessons,desktop,25-34,Germany,level_test,conversation
U00260,2026-01-01 16:14:00,Partner Referral,partner_hr_benefit,mobile,25-34,Austria,speaking_club,conversation
U00261,2026-03-31 10:38:00,Instagram,ig_lookalike_students,mobile,18-24,Switzerland,level_test,conversation
U00262,2026-01-02 19:03:00,Google Ads,ga_competitor,mobile,18-24,Germany,level_test,exam
U00263,2026-01-29 20:18:00,YouTube,yt_pre_roll,desktop,18-24,Germany,trial_lesson,conversation
U00264,2026-01-15 20:27:00,Partner Referral,partner_blog,mobile,25-34,Germany,pricing,conversation
U00265,2026-01-03 17:13:00,TikTok,tt_short_lessons,desktop,18-24,Germany,pricing,exam
U00266,2026-03-16 08:16:00,Google Ads,ga_search_english_course,mobile,25-34,Austria,pricing,career
U00267,2026-01-24 13:32:00,YouTube,yt_pre_roll,tablet,25-34,Germany,level_test,school_university
U00268,2026-03-22 15:56:00,TikTok,tt_viral_test,mobile,45+,Other EU,speaking_club,school_university
U00269,2026-01-30 20:15:00,Telegram,tg_webinar_invite,mobile,25-34,Germany,pricing,travel
U00270,2026-01-21 17:04:00,Instagram,ig_lookalike_students,mobile,45+,Germany,level_test,conversation
U00271,2026-02-08 21:47:00,TikTok,tt_short_lessons,tablet,35-44,Other EU,level_test,conversation
